iter	Passed	Remaining
431	1866	2453
432	1866	2444
433	1867	2435
434	1868	2426
435	1869	2417
436	1869	2408
437	1870	2400
438	1871	2391
439	1872	2383
440	1873	2374
441	1873	2365
442	1874	2357
443	1875	2348
444	1876	2340
445	1877	2332
446	1878	2324
447	1879	2315
448	1880	2307
449	1881	2299
450	1882	2290
451	1882	2282
452	1883	2274
453	1884	2266
454	1884	2257
455	1885	2249
456	1886	2241
457	1887	2233
458	1887	2224
459	1888	2216
460	1889	2209
461	1890	2201
462	1891	2193
463	1891	2185
464	1892	2177
465	1893	2169
466	1894	2161
467	1894	2154
468	1895	2146
469	1896	2138
470	1897	2130
471	1898	2123
472	1898	2115
473	1899	2108
474	1900	2100
475	1901	2092
476	1901	2085
477	1902	2077
478	1903	2070
479	1904	2062
480	1904	2055
481	1905	2048
482	1906	2040
483	1907	2033
484	1908	2026
485	1908	2018
486	1909	2011
487	1910	2004
488	1911	1997
489	1911	1989
490	1912	1982
491	1913	1975
492	1913	1968
493	1914	1961
494	1915	1954
495	1916	1947
496	1917	1940
497	1918	1933
498	1919	1926
499	1920	1920
500	1921	1913
501	1922	1907
502	1923	1900
503	1924	1893
504	1924	1886
505	1925	1879
506	1926	1873
507	1927	1866
508	1927	1859
509	1928	1852
510	1929	1846
511	1929	1839
512	1930	1832
513	1931	1826
514	1932	1819
515	1932	1812
516	1933	1806
517	1934	1800
518	1935	1793
519	1936	1787
520	1936	1780
521	1937	1774
522	1938	1767
523	1938	1761
524	1939	1754
525	1940	1748
526	1941	1742
527	1941	1735
528	1942	1729
529	1943	1723
530	1944	1717
531	1944	1710
532	1945	1704
533	1946	1698
534	1947	1692
535	1947	1686
536	1948	1680
537	1949	1673
538	1949	1667
539	1950	1661
540	1951	1656
541	1952	1650
542	1953	1644
543	1954	1638
544	1955	1632
545	1956	1626
546	1956	1620
547	1957	1614
548	1958	1608
549	1958	1602
550	1959	1596
551	1960	1591
552	1961	1585
553	1961	1579
554	1962	1573
555	1963	1567
556	1964	1562
557	1964	1556
558	1965	1550
559	1966	1545
560	1967	1539
561	1968	1533
562	1968	1528
563	1969	1522
564	1970	1517
565	1971	1511
566	1972	1506
567	1972	1500
568	1973	1494
569	1974	1489
570	1975	1483
571	1975	1478
572	1976	1472
573	1977	1467
574	1978	1462
575	1978	1456
576	1979	1451
577	1980	1445
578	1981	1440
579	1981	1435
580	1981	1435
581	1985	1428
582	1989	1425
583	1991	1421
584	1993	1416
585	1997	1413
586	1998	1408
587	1999	1403
588	2001	1398
589	2005	1395
590	2006	1390
591	2006	1385
592	2007	1380
593	2008	1375
594	2009	1370
595	2010	1365
596	2011	1359
597	2011	1354
598	2012	1349
599	2013	1344
600	2014	1339
601	2015	1334
602	2015	1329
603	2016	1324
604	2017	1319
605	2018	1314
606	2019	1309
607	2020	1304
608	2020	1299
609	2021	1294
610	2022	1289
611	2023	1284
612	2023	1279
613	2024	1274
614	2025	1270
615	2026	1265
616	2026	1260
617	2027	1255
618	2028	1250
619	2029	1245
620	2029	1240
621	2031	1236
622	2044	1238
623	2059	1243
624	2061	1239
625	2062	1234
626	2063	1229
627	2064	1224
628	2065	1220
629	2068	1216
630	2069	1212
631	2070	1207
632	2071	1202
633	2072	1198
634	2073	1193
635	2073	1188
636	2074	1183
637	2075	1179
638	2075	1174
639	2076	1169
640	2077	1165
641	2077	1160
642	2078	1155
643	2080	1151
644	2081	1147
645	2082	1142
646	2084	1138
647	2084	1134
648	2085	1129
649	2086	1125
650	2087	1120
651	2087	1116
652	2088	1111
653	2089	1107
654	2090	1102
655	2090	1098
656	2091	1093
657	2092	1089
658	2092	1084
659	2094	1080
660	2095	1076
661	2096	1072
662	2097	1067
663	2099	1063
664	2099	1059
665	2100	1055
666	2101	1050
667	2102	1046
668	2102	1041
669	2103	1037
670	2104	1033
671	2104	1028
672	2105	1024
673	2106	1020
674	2107	1016
675	2108	1011
676	2108	1007
677	2109	1003
678	2110	999
679	2111	995
680	2112	990
681	2113	986
682	2113	982
683	2114	978
684	2115	974
685	2116	970
686	2116	965
687	2117	961
688	2118	957
689	2119	953
690	2119	949
691	2120	945
692	2121	941
693	2122	937
694	2122	933
695	2123	928
696	2124	924
697	2125	920
698	2126	917
699	2127	913
700	2128	909
701	2129	905
702	2130	901
703	2131	897
704	2132	893
705	2132	889
706	2133	885
707	2134	881
708	2135	877
709	2136	873
710	2153	876
711	2154	872
712	2155	869
713	2164	868
714	2166	864
715	2167	860
716	2168	856
717	2169	853
718	2170	849
719	2177	847
720	2178	844
721	2179	840
722	2181	836
723	2184	833
724	2185	830
725	2186	826
726	2188	823
727	2190	819
728	2191	815
729	2193	812
730	2195	809
731	2202	807
732	2204	803
733	2205	800
734	2206	796
735	2207	792
736	2207	788
737	2209	785
738	2214	783
739	2216	779
740	2217	776
741	2218	772
742	2220	768
743	2221	765
744	2221	761
745	2222	757
746	2223	754
747	2225	750
748	2226	746
749	2231	744
750	2233	741
751	2234	737
752	2235	734
753	2236	730
754	2237	727
755	2238	723
756	2239	719
757	2240	716
758	2246	714
759	2248	710
760	2249	707
761	2250	703
762	2251	700
763	2252	696
764	2253	693
765	2254	689
766	2256	686
767	2260	683
